Economic Times,"Railways starts displaying reservation charts, vacant seats online",https://economictimes.indiatimes.com/industry/transportation/railways/railways-starts-displaying-reservation-charts-vacant-seats-online/articleshow/68185065.cms,"February 27, 2019",The user-friendly interface will give graphical representation of the trai...,"https://img.etimg.com/thumb/msid-68185065,width-120,height-120/industry/transportation/railways/railways-starts-displaying-reservation-charts-vacant-seats-online.jpg"
NDTV,Woman's Body Found In Sack Near Railway Line In Delhi,https://www.ndtv.com/delhi-news/womans-body-found-in-sack-near-railway-line-in-delhi-2000916," February 28, 2019  ","
                        The body of a 25-year-old woman with strangle marks was found dumped in a sack near a railway line in southeast Delhi, police said Thursday.                    ",https://c.ndtvimg.com/2018-12/vcf4ghe_delhi-police-generic-240_120x90_29_December_18.jpg
NDTV,PM Modi To Flag Off Madurai-Chennai Tejas Express On Friday,https://www.ndtv.com/tamil-nadu-news/pm-modi-to-flag-off-madurai-chennai-tejas-express-on-friday-2000912," February 28, 2019  ","
                        Prime Minister Narendra Modi will be laying the foundation stone for two major railway projects and will also flag off Madurai-Chennai Tejas Express at a function at Kanyakumari on Friday.                    ",https://c.ndtvimg.com/2019-02/g99a055o_modi-rajasthan-pti_120x90_26_February_19.jpg
NDTV,"Indian Railways Suspends Samjhauta Express Citing ""Operational Reasons""",https://www.ndtv.com/india-news/indian-railways-suspends-samjhauta-express-citing-operational-reasons-2000887," February 28, 2019  ","
                        The Indian Railways has suspended operations of the India-Pakistan Samjhauta Express from its end starting Thursday, news agency PTI said today. The decision, it said, was based on ""purely operational reasons"" arising from the fact that the train has been carrying very few passengers due to stoppage of services from Pakistan's side.                    ",https://c.ndtvimg.com/2019-02/fj9d8724_samjhauta-express-india-pak-twitter_120x90_28_February_19.jpg
NDTV,"RRB NTPC Notification Released For 35,277 Vacancies, Online Registration From Tomorrow",https://www.ndtv.com/jobs/rrb-ntpc-notification-2019-released-for-35-277-vacancies-online-registration-starts-on-march-1-2000840," February 28, 2019  ","
                        The recruitment process based on this RRB NTPC notification will be undertaken by Railway Recruitment Board or RRB of the Indian Railways.                    ",https://c.ndtvimg.com/2018-10/998i7b4k_train-irctc-indian-railways_120x90_18_October_18.jpg
NDTV,IRCTC Launches Payment Aggregator iPay: 5 Things To Know,https://www.ndtv.com/business/irctc-indian-railways-launches-ipay-for-faster-payment-service-how-to-use-other-details-2000746," February 28, 2019  ","
                        With the launch of IRCTC iPay, the passengers will not need any third-party platforms.                    ",https://c.ndtvimg.com/2018-10/998i7b4k_train-irctc-indian-railways_120x90_18_October_18.jpg
NDTV,Railway RPF SI Exam Result Announced,https://www.ndtv.com/jobs/railway-rpf-si-exam-result-announced-2000551," February 28, 2019  ","
                        While the PET and PMT for Constable post is over, for SI group A, B, C and D the tests will be held in March.                    ",https://c.ndtvimg.com/2018-11/4r2no5to_railways-generic_120x90_20_November_18.jpg
NDTV,"Andhra Pradesh To Get New Railway Zone, 18th In India: Rail Minister",https://www.ndtv.com/india-news/andhra-pradesh-to-get-new-railway-zone-18th-in-india-rail-minister-piyush-goyal-2000413," February 28, 2019  ","
                        Railway Minister Piyush Goyal on Wednesday announced a new railway zone for Andhra Pradesh, days after a delegation of BJP lawmakers from the state met the minister demanding the same.                    ",https://i.ndtvimg.com/i/2017-07/indian-railways_240x180_51501136547.jpg
NDTV,New Railway Zone Announced For Andhra Pradesh,https://www.ndtv.com/india-news/railway-minister-piyush-goyal-announces-new-railway-zone-for-andhra-pradesh-2000304," February 27, 2019  ","
                        Railway Minister Piyush Goyal Wednesday announced a new railway zone for Andhra Pradesh, days after a delegation of BJP MPs from the state met the minister demanding the same.                    ",https://i.ndtvimg.com/i/2017-09/piyush-goyal_240x180_41504969113.jpg
NDTV,"At Least 20 Dead, 43 Injured After Train Crash And Fire At Cairo Station",https://www.ndtv.com/world-news/egypt-20-killed-40-injured-in-cairo-railway-station-fire-says-report-2000096," February 27, 2019  ","
                        At least 20 people were killed and 43 injured when a locomotive smashed through the buffers at the main train station in the Egyptian capital Cairo on Wednesday, the health minister said.                    ",https://c.ndtvimg.com/2019-02/5od3a5n_cairo-station-fire-feb-27-reuters_120x90_27_February_19.jpg
NDTV,"Railways Aim At Two-Locomotive Rajdhanis To Save Time, Increase Berths",https://www.ndtv.com/india-news/railways-aim-at-two-locomotive-rajdhanis-to-save-time-increase-berths-1999973," February 27, 2019  ","
                        Aiming to increase the number of berths and save travel time, the Indian Railways is probing the idea of having two locomotives to haul its Rajdhani Express trains, one in front and the other at the rear, to increase their speed and save travel time, a railway ministry official said.                    ",https://i.ndtvimg.com/i/2017-02/rajdhani-express-240_240x180_51486924914.jpg
